FeatureClass,DataSourceID
Artesia_allBasePts,Skotnicki2010_OFGM208
Artesia_allBasePts,Rawling2006_OFGM119
Artesia_allBasePts,Rawling2004_OFGM95
Artesia_allBasePts,Rawling2004_OFGM93
Artesia_allBasePts,NMBGMR_500k
Artesia_allBasePts,NMBGMR_SubsurfaceLibrary
Artesia_allBasePts,NMOCD_online
Artesia_allBasePts,Rawling2014_OFR538
Artesia_allBasePts,Skotnicki2010_OFGM209
Artesia_allBasePts,Skotnicki2009_OFGM188
Artesia_allBasePts,Skotnicki2009_OFGM189
Artesia_allBasePts,GR_RAB_NorthEW
Artesia_allBasePts,Rawling2004_OFGM94
Artesia_allBasePts,OFR543
Artesia_allBasePts,SalineSE
Artesia_allBasePts,OFR497
Artesia_allBasePts,OCD_online_2018
Artesia_allBasePts,Meyer1966
Artesia_allBasePts,WellCompletionRecord
Artesia_allBasePts,GR_RAB_SouthEW
Artesia_allBasePts,SalineMedial
Artesia_allBasePts,OFR543_BB
Artesia_allBasePts,OFR543_CC
Artesia_allBasePts,SouthernSacramentoCompilationENS
Artesia_allBasePts,SouthernSacramentoCompilationNEW
Artesia_allBasePts,SouthernSacramentoCompilationWNS
LDockum_allBasePts,Skotnicki2010_OFGM208
LDockum_allBasePts,Rawling2006_OFGM119
LDockum_allBasePts,Rawling2004_OFGM95
LDockum_allBasePts,Rawling2004_OFGM93
LDockum_allBasePts,NMBGMR_500k
LDockum_allBasePts,GR_RAB_NorthEW
LDockum_allBasePts,NMBGMR_SubsurfaceLibrary
LDockum_allBasePts,NMOCD_online
LDockum_allBasePts,Rawling2014_OFR538
LDockum_allBasePts,Goff2011_OFGM134
LDockum_allBasePts,SalineSE
LDockum_allBasePts,OFR487
LDockum_allBasePts,BRACS_INTERA_High_Plains_GAM_study
LDockum_allBasePts,OCD_online_2018
LDockum_allBasePts,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs
LDockum_allBasePts,OFR497
LDockum_allBasePts,BRACS_BEG_Paper/Digital_Geophysical_Logs
LDockum_allBasePts,Cikoski_DataInterp
LDockum_allBasePts,BRACS_NM_EMNRD_Geophysical_Logs
SanAndres_allBAsePts,Skotnicki2010_OFGM209
SanAndres_allBAsePts,Skotnicki2010_OFGM208
SanAndres_allBAsePts,Rawling2006_OFGM119
SanAndres_allBAsePts,Skotnicki2009_OFGM188
SanAndres_allBAsePts,Skotnicki2009_OFGM189
SanAndres_allBAsePts,Rawling2004_OFGM95
SanAndres_allBAsePts,Rawling2004_OFGM93
SanAndres_allBAsePts,NMBGMR_SubsurfaceLibrary
SanAndres_allBAsePts,GR_RAB_NorthEW
SanAndres_allBAsePts,NMBGMR_500k
SanAndres_allBAsePts,Rawling2014_OFR538
SanAndres_allBAsePts,Timmons2010_OFGM197
SanAndres_allBAsePts,Rawling2004_OFGM94
SanAndres_allBAsePts,OFR543
SanAndres_allBAsePts,NMOCD_online
SanAndres_allBAsePts,SalineSE
SanAndres_allBAsePts,OFR497
SanAndres_allBAsePts,OCD_online_2018
SanAndres_allBAsePts,Meyer1966
SanAndres_allBAsePts,WellCompletionRecord
SanAndres_allBAsePts,OFR487
SanAndres_allBAsePts,SalineMedial
SanAndres_allBAsePts,GR_RAB_SouthEW
SanAndres_allBAsePts,OFR543_BB
SanAndres_allBAsePts,OFR543_CC
SanAndres_allBAsePts,SouthernSacramentoCompilationENS
SanAndres_allBAsePts,SouthernSacramentoCompilationNEW
SanAndres_allBAsePts,SouthernSacramentoCompilationWNS
SanAndres_allBAsePts,OFR488
SierraBlanca_allBasePts,NMBGMR_500k
SierraBlanca_allBasePts,Skotnicki2010_OFGM209
SierraBlanca_allBasePts,Rawling2014_OFR538
SierraBlanca_allBasePts,Rawling2004_OFGM95
SierraBlanca_allBasePts,Rawling2006_OFGM119
SierraBlanca_allBasePts,Rawling2004_OFGM93
UCretaceous_allBasePts,Rawling2006_OFGM119
UCretaceous_allBasePts,Rawling2004_OFGM95
UCretaceous_allBasePts,Rawling2004_OFGM93
UCretaceous_allBasePts,NMBGMR_500k
UCretaceous_allBasePts,Rawling2014_OFR538
UCretaceous_allBasePts,GR_RAB_NorthEW
UCretaceous_allBasePts,NMBGMR_SubsurfaceLibrary
UCretaceous_allBasePts,NMOCD_online
UCretaceous_allBasePts,Goff2011_OFGM134
Yeso_allBasePts,Skotnicki2010_OFGM209
Yeso_allBasePts,Skotnicki2010_OFGM208
Yeso_allBasePts,Skotnicki2009_OFGM188
Yeso_allBasePts,Skotnicki2009_OFGM189
Yeso_allBasePts,Rawling2006_OFGM119
Yeso_allBasePts,Rawling2004_OFGM93
Yeso_allBasePts,NMBGMR_SubsurfaceLibrary
Yeso_allBasePts,Timmons2010_OFGM197
Yeso_allBasePts,Rawling2004_OFGM94
Yeso_allBasePts,Rawling2004_OFGM95
Yeso_allBasePts,GR_RAB_NorthEW
Yeso_allBasePts,NMBGMR_500k
Yeso_allBasePts,Rawling2014_OFR538
Yeso_allBasePts,OFR543
Yeso_allBasePts,SalineSE
Yeso_allBasePts,OFR497
Yeso_allBasePts,OCD_online_2018
Yeso_allBasePts,OFR487
Yeso_allBasePts,Meyer1966
Yeso_allBasePts,NMOCD_online
Yeso_allBasePts, 
Yeso_allBasePts,SalineMedial
Yeso_allBasePts,WellCompletion
Yeso_allBasePts,WellCompletionRecord
LOchoan_allBasePts,SalineSE
LOchoan_allBasePts,OCD_online_2018
LOchoan_allBasePts,NMBGMR_500k
LOchoan_allBasePts,OFR497
LOchoan_allBasePts,Meyer1966
LOchoan_allBasePts,GR_RAB_NorthEW
LOchoan_allBasePts,WellCompletionRecord
LOchoan_allBasePts,NMBGMR_SubsurfaceLibrary
LOchoan_allBasePts,GR_RAB_SouthEW
UDockum_allBAsePts,SalineSE
UDockum_allBAsePts,OFR497
UDockum_allBAsePts,OFR487
UDockum_allBAsePts,BRACS_BEG_Paper/Digital_Geophysical_Logs
UDockum_allBAsePts,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs
UDockum_allBAsePts,BRACS_INTERA_High_Plains_GAM_study
UDockum_allBAsePts,BRACS_NM_EMNRD_Geophysical_Logs
UOchoan_allBasePts,OCD_online_2018
UOchoan_allBasePts,SalineSE
UOchoan_allBasePts,OFR487
UOchoan_allBasePts,BRACS_INTERA_High_Plains_GAM_study
UOchoan_allBasePts,BRACS_RRC_GAU_Q_Paper/Digital_Geophysical_Logs
UOchoan_allBasePts,OFR497
UOchoan_allBasePts,BRACS_BEG_Paper/Digital_Geophysical_Logs
UOchoan_allBasePts,NMBGMR_500k
UOchoan_allBasePts,Cikoski_DataInterp
UOchoan_allBasePts,WellCompletionRecord
UOchoan_allBasePts,BRACS_NM_EMNRD_Geophysical_Logs
